,Date,Open,High,Low,Close,a1,a2,a3,a4,pl,,,
3420,04/12/2013,15520,15579,15326,15408,-578,-658,-219,-1455,-112,1,0,7
3421,05/12/2013,15355,15430,15139,15177,-178,-211,-178,-567,-178,1,0,7
3422,06/12/2013,15113,15327,15113,15300,187,125,187,499,187,0,1,7
3423,09/12/2013,15557,15650,15547,15650,-83,197,221,335,93,0,1,7
3424,10/12/2013,15634,15634,15562,15611,-88,-97,-93,-278,-23,1,0,8
3425,11/12/2013,15510,15562,15386,15515,65,-77,-37,-49,5,0,0,8
3426,12/12/2013,15377,15393,15255,15342,-19,33,65,79,-35,0,0,7
3427,13/12/2013,15317,15533,15251,15403,-55,504,-278,171,86,0,1,7
3428,16/12/2013,15408,15408,15146,15153,-279,-394,-492,-1165,-255,1,0,7
3429,17/12/2013,15290,15322,15248,15279,94,-263,38,-131,-11,1,0,8
3430,18/12/2013,15273,15588,15268,15588,265,-93,174,346,315,0,1,8
3431,19/12/2013,15809,15892,15799,15859,7,647,-76,578,50,0,1,8
3432,20/12/2013,15791,15870,15755,15870,-461,79,79,-303,79,0,0,8
3433,23/12/2013,15870,15870,15870,15870,-150,120,46,16,0,0,0,7
3434,24/12/2013,15956,16030,15849,15889,-265,-80,32,-313,-67,1,0,6
3435,25/12/2013,15861,16011,15854,16010,-910,293,149,-468,149,0,0,6
3436,26/12/2013,16087,16186,16082,16174,-412,152,87,-173,87,0,0,6
3437,27/12/2013,16229,16233,16057,16179,-388,-88,-61,-537,-50,1,0,6
3438,30/12/2013,16269,16320,16183,16291,-138,22,22,-94,22,0,0,6
3439,31/03/2014,14840,14844,14718,14828,-91,-12,-12,-115,-12,1,0,5
3440,01/04/2014,14871,14871,14751,14792,-79,-252,-79,-410,-79,1,0,5
3441,02/04/2014,14898,15070,14893,14946,48,48,48,144,48,0,1,5
3442,03/04/2014,15009,15164,14976,15072,63,63,63,189,63,0,1,5
3443,04/04/2014,15006,15098,15001,15064,58,58,58,174,58,0,1,6
3444,07/04/2014,14881,14896,14764,14809,-571,-72,-72,-715,-72,1,0,7
3445,08/04/2014,14716,14740,14605,14607,-109,-109,-109,-327,-109,1,0,7
3446,09/04/2014,14436,14502,14279,14300,-136,105,196,165,-136,0,0,8
3447,10/04/2014,14485,14513,14234,14300,-185,-185,-185,-555,-185,1,0,8
3448,11/04/2014,14028,14066,13885,13960,-68,-191,-68,-327,-68,1,0,8
3449,14/04/2014,13887,14008,13885,13910,23,125,23,171,23,0,1,9
3450,15/04/2014,14069,14097,13969,13997,-72,-659,-72,-803,-72,1,0,9
3451,16/04/2014,14127,14420,14126,14418,501,175,203,879,291,0,1,9
3452,17/04/2014,14396,14501,14352,14418,568,107,-118,557,22,0,1,9
3453,18/04/2014,14489,14537,14443,14516,-426,290,-114,-250,27,0,0,9
3454,21/04/2014,14549,14650,14503,14512,-30,-51,132,51,-37,0,0,8
3455,22/04/2014,14586,14604,14389,14389,-277,-203,-308,-788,-197,1,0,7
3456,23/04/2014,14480,14546,14459,14546,372,458,-90,740,66,0,1,7
3457,24/04/2014,14563,14563,14367,14405,-250,-316,-201,-767,-158,1,0,8
3458,25/04/2014,14370,14554,14328,14429,-527,105,-10,-432,59,0,0,8
3459,28/04/2014,14290,14324,14224,14288,-213,50,-550,-713,-2,1,0,7
3460,29/04/2014,14288,14288,14288,14288,-250,-16,44,-222,0,0,0,7
3461,30/04/2014,14394,14421,14276,14304,-224,-291,-308,-823,-90,1,0,6
3462,01/05/2014,14341,14493,14341,14485,934,114,5,1053,144,0,1,6
3463,02/05/2014,14454,14474,14406,14458,-252,-49,-28,-329,4,0,0,6
3464,06/05/2014,14454,14474,14406,14458,283,54,-158,179,4,0,1,6
3465,07/05/2014,14296,14299,14033,14033,362,49,-546,-135,-263,1,0,7
3466,08/05/2014,14136,14254,14108,14164,-324,183,28,-113,28,0,0,7
3467,09/05/2014,14102,14266,14091,14200,-89,118,-6,23,98,0,1,6
3468,12/05/2014,14173,14234,14130,14150,-189,-927,153,-963,-23,1,0,6
3469,13/05/2014,14368,14464,14360,14425,88,194,282,564,57,0,1,7
3470,14/05/2014,14386,14419,14350,14405,19,-368,91,-258,19,0,0,7
3471,15/05/2014,14281,14306,14190,14298,-191,47,-63,-207,17,0,0,7
3472,16/05/2014,14088,14108,14016,14097,-458,-143,25,-576,9,0,0,6
3473,19/05/2014,14130,14150,13992,14006,-148,-118,-90,-356,-124,1,0,5
3474,20/05/2014,14088,14144,14038,14075,0,-31,-153,-184,-13,1,0,6
3475,21/05/2014,13979,14077,13979,14006,-8,-334,787,445,27,0,1,6
3476,22/05/2014,14188,14369,14148,14338,-222,135,65,-22,150,0,0,6
3477,23/05/2014,14411,14528,14405,14462,910,51,51,1012,51,0,1,6
3478,26/05/2014,14593,14603,14531,14603,519,10,38,567,10,0,1,6
3479,27/05/2014,14622,14744,14580,14634,349,12,12,373,12,0,1,6
3480,28/05/2014,14662,14716,14600,14708,23,120,46,189,46,0,1,6
3481,29/05/2014,14627,14708,14568,14670,-169,43,43,-83,43,0,0,7
3482,02/06/2014,14720,14980,14820,14940,241,293,258,792,220,0,1,7
3483,03/06/2014,15060,15097,15000,15000,30,-60,-60,-90,-60,1,0,8
3484,04/06/2014,15058,15082,14982,15050,-1067,-58,-89,-1214,-8,1,0,8
3485,05/06/2014,15131,15140,15013,15090,-445,-35,-41,-521,-41,1,0,8
3486,06/06/2014,15138,15144,15042,15077,-69,-273,-61,-403,-61,1,0,8
